"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"2","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"3","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"4","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"5","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"6","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"7","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"8","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"9","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"10","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"11","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"12","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"13","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"14","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"15","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"16","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"17","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,0
"18","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,16
"19","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,100
"20","111722","SH P0-P1","LH","SSp-ll","0.386","JM","W3-2.1","(-)6.000","(-)3.000",654.69921875,"X",256,1,1,174
