"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"2","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"3","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"4","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"5","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"6","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"7","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"8","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"9","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"10","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"11","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"12","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"13","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"14","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"15","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,0
"16","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,1
"17","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,65
"18","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,350
"19","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,1123
"20","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,1799
"21","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,2687
"22","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,2946
"23","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,2610
"24","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,2343
"25","111722","NW","LH","ACAd","0.115","LD","W1-2.2","(+)2.500","(+)3.500",195.2265625,"X",256,1,1,1648
